blocks,axes
"[[-17490.87329146603, 15503.43293894543, 20480.964422985835, -200.00000000347683, 200.000000000865, 199.99999999822268], [-21142.26428510124, 21153.09030635103, 21090.44900005825, -180.00000005033345, 180.00000003040873, 179.99999961497903]]","(1:1:12,)"
"[[-18490.87329148341, 16503.432938949754, 21480.964422976947, -199.9999999992454, 199.99999999938964, 198.57406221704258], [-22042.264285352907, 22053.090306503072, 21990.448998133143, -179.99999999910972, 179.99999998470153, 179.28062361807645]]","(1:1:12,)"
"[[-19490.87329147964, 17503.432938946702, 22473.834734062162, -200.00000000222846, 200.00000000197838, 195.8107383114393], [-22942.264285348454, 22953.09030642658, 22886.852116223527, -180.00000006990962, 180.00000006349643, 177.8923183515552]]","(1:1:12,)"
"[[-20490.87329149078, 18503.432938956594, 23452.88842561936, -199.9999999995896, 199.99999999663254, 192.13941454440229], [-23842.264285698002, 23853.090306744063, 23776.313707981302, -179.99999999634466, 179.99999999564434, 176.04977696582833]]","(1:1:12,)"
"[[-21490.87329148873, 19503.432938939757, 24413.58549834137, -200.00000000114687, 200.00000000112857, 187.9933251556549], [-24742.264285679725, 24753.090306722286, 24656.562592810445, -180.00000003110333, 180.00000003035134, 173.96961660037252]]","(1:1:12,)"
"[[-22490.873291494463, 20503.4329389454, 25353.552124119644, -200.0000000060106, 200.00000000600406, 183.72415859878578], [-25642.26428583524, 25653.090306874044, 25526.41067581231, -180.00000011877398, 180.00000011346089, 171.82768150229492]]","(1:1:12,)"
"[[-23490.873291524516, 21503.43293897542, 26272.172917113574, -199.9999999983649, 199.9999999998086, 179.54551508792133], [-26542.264286429112, 26553.090307441347, 26385.54908332378, -179.99999999905896, 180.00000000039648, 169.73077179966802]]","(1:1:12,)"
"[[-24490.873291516342, 22503.432938974463, 27169.90049255318, -200.00000000356494, 200.0000000024756, 175.62807060134395], [-27442.264286424408, 27453.09030744333, 27234.20294232212, -180.00000004823792, 180.00000004782885, 167.76422550333984]]","(1:1:12,)"
"[[-25490.873291534168, 23503.43293898684, 28048.0408455599, -200.0000000038809, 200.00000000345625, 172.07486276176377], [-28342.2642866656, 28353.090307682472, 28073.02406983882, -180.00000006639704, 180.0000000608788, 165.9795614470697]]","(1:1:12,)"
"[[-26490.873291553573, 24503.43293900412, 28908.415159368717, -200.00000000121005, 200.0000000012658, 168.95538600905473], [-29242.264286997583, 29253.090307986866, 28902.921877074168, -180.0000000278991, 180.00000003418236, 164.4115268738957]]","(1:1:12,)"
"[[-27490.873291559623, 25503.43293901045, 29753.19208941399, -200.00000000097032, 200.0000000018563, 166.29172501615432], [-30142.264287137077, 30153.090308157778, 29724.979511443646, -180.0000000403587, 180.00000003998395, 163.07116414408486]]","(1:1:12,)"
"[[-28490.873291564476, 26503.43293901973, 30584.65071449476, -200.0000000086521, 200.00000000356061, 164.06376513735165], [-31042.264287338872, 31053.0903083577, 30540.33533216407, -180.0000001517121, 180.0000000641989, 161.94841595927747]]","(1:1:12,)"
"[[-29490.873291607735, 27503.432939037535, 31404.96954018152, -199.99999999738523, 200.00000000074164, 162.26669696241345], [-31942.264288097434, 31953.090308678693, 31350.077411960458, -180.0000000061197, 180.0000000303382, 161.04087763954865]]","(1:1:12,)"
"[[-30490.87329159466, 28503.432939041242, 32216.303024993587, -200.0000000023517, 200.0000000018103, 160.86085063056618], [-32842.26428812803, 32853.09030883038, 32155.2818001582, -180.00000006307968, 180.00000003927758, 160.32871428040073]]","(1:1:12,)"
"[[-31490.87329160642, 29503.432939050293, 33020.60727814642, -200.00000000765448, 200.00000000414744, 159.78644752198187], [-33742.26428844343, 33753.09030902677, 32956.9253715602, -180.00000017678187, 180.00000010408687, 159.7820365985055]]","(1:1:12,)"
