blocks,axes
"[[-0.12595300140076346, -0.1374648770490937, -0.10082151084527043], [-0.1114442680903436, -0.123718379978183, -0.050410755422482044]]","(1:1:6,)"
"[[-0.1255986864969131, -0.13746488226442216, -0.06207873981171072], [-0.11112532629098283, -0.1237184679143368, -0.031039369905735945]]","(1:1:6,)"
"[[-0.1252443813530305, -0.137464871684444, -0.029607138792510507], [-0.11080653911507427, -0.12371829541423586, -0.014803569396139383]]","(1:1:6,)"
"[[-0.12489006505118783, -0.13746488079213218, -0.005051815972103098], [-0.11048758915558567, -0.12371843184952058, -0.0025259079859400618]]","(1:1:6,)"
"[[-0.12453575599372371, -0.13746487677670918, 0.011818877432089446], [-0.11016873193608226, -0.12371838198214796, 0.0059094387160501805]]","(1:1:6,)"
"[[-0.12418144489904737, -0.13746487779312636, 0.024267938247008125], [-0.10984985050408544, -0.12371839010139737, 0.012133969123508722]]","(1:1:6,)"
"[[-0.12382713328225124, -0.1374648774888432, 0.031998695939753005], [-0.10953097083498503, -0.1237183898160913, 0.01599934796987968]]","(1:1:6,)"
"[[-0.12347282260120904, -0.13746487750269337, 0.03569575338076077], [-0.10921209063586287, -0.12371838579777139, 0.017847876690284488]]","(1:1:6,)"
"[[-0.12311851139976557, -0.1374648776201112, 0.0369832621527539], [-0.1088932115271931, -0.12371838986118457, 0.018491631076295905]]","(1:1:6,)"
"[[-0.12276420023561958, -0.13746487770808694, 0.036153662093002414], [-0.10857433029535257, -0.12371838995839889, 0.01807683104643584]]","(1:1:6,)"
"[[-0.12240988921126099, -0.13746487765690923, 0.033854260291915454], [-0.10825545090807395, -0.12371838793063417, 0.01692713014598383]]","(1:1:6,)"
"[[-0.12205557805667244, -0.13746487748931635, 0.030614440913686054], [-0.10793657157005139, -0.12371838990722545, 0.015307220456853583]]","(1:1:6,)"
"[[-0.12170126694943084, -0.1374648777868234, 0.026857387616083802], [-0.10761768801759591, -0.12371838989915726, 0.013428693808038005]]","(1:1:6,)"
"[[-0.1213469558136262, -0.13746487747116143, 0.023022392421616848], [-0.10729881243646272, -0.12371838310238488, 0.011511196211096085]]","(1:1:6,)"
"[[-0.12099264484273851, -0.13746487781043004, 0.01907417918643912], [-0.10697993008832953, -0.1237183981051141, 0.009537089593476239]]","(1:1:6,)"
"[[-0.12063833346277078, -0.13746487758879472, 0.015357404327339733], [-0.07079593764315706, -0.12371838522431045, 0.007678702163895771]]","(1:1:6,)"
"[[0.2493523966008534, -0.1374648777053029, 0.01210236860656215], [0.12797502428859706, -0.12359513365614126, 0.006051184303059141]]","(1:1:6,)"
"[[0.5395979742486718, -0.13619457697313986, 0.00907512212303215], [0.2729096369553665, -0.12278987827798708, 0.004537561061313755]]","(1:1:6,)"
"[[0.7200144816750381, -0.13392802984354543, 0.0064876905990569325], [0.3629303211272764, -0.12148762369616185, 0.003243845299346167]]","(1:1:6,)"
"[[0.8092874897761049, -0.13104266385765057, 0.004423681171477087], [0.4079120815639467, -0.1198770694080589, 0.0022118405858944897]]","(1:1:6,)"
"[[0.8388676364300818, -0.12785169198130586, 0.0026458315304725352], [0.4225157174479167, -0.1181130862506042, 0.001322915765394159]]","(1:1:6,)"
"[[0.8192655383857222, -0.12456021835650626, 0.0012532276536903083], [0.4125288321637461, -0.11629988023371528, 0.0006266138270029346]]","(1:1:6,)"
"[[0.7683110392062826, -0.12133724729548341, 0.00024987957739115317], [0.3873936459671436, -0.11452211357289156, 0.00012493978890028184]]","(1:1:6,)"
"[[0.691947738302954, -0.11829048662686142, -0.0005313078045225603], [0.34902728111382536, -0.11283168917019928, -0.0002656539020598282]]","(1:1:6,)"
"[[0.6037429052035604, -0.11550723676174801, -0.0010630205341681915], [0.3047407456023781, -0.11127419660550855, -0.000531510266887944]]","(1:1:6,)"
"[[0.5128202729643354, -0.113028158645218, -0.0013720854742002076], [0.2582142182088363, -0.10986986057274195, -0.0006860427370657665]]","(1:1:6,)"
"[[0.41995607093802884, -0.11086257102723181, -0.0015492043768798715], [0.21159924849230696, -0.1086264144850614, -0.0007746021883941286]]","(1:1:6,)"
"[[0.3327533984076793, -0.10901712394901199, -0.0016020417900491721], [0.16781560458194134, -0.10754414104695886, -0.0008010208949665832]]","(1:1:6,)"
"[[0.2559964253829403, -0.10747234099363218, -0.0015609240910375482], [0.12907737515330067, -0.10661329373653985, -0.000780462044875529]]","(1:1:6,)"
"[[0.18536620767623757, -0.10619230919114052, -0.0014607537531746595], [0.0935810704426497, -0.10581652917979383, -0.0007303768760011734]]","(1:1:6,)"
"[[0.1253171545952581, -0.10515595838173221, -0.0013200348072745177], [0.0633758893148375, -0.10514270203519216, -0.0006600174031080009]]","(1:1:6,)"
"[[0.07790599601804009, -0.10432691100472961, -0.001161400667061042], [0.03949019150398524, -0.10457358634220253, -0.0005807003331677222]]","(1:1:6,)"
"[[0.03739546941270246, -0.1036617437762101, -0.0009883255662187583], [0.019055339995983172, -0.10408760157396578, -0.0004941627827603143]]","(1:1:6,)"
"[[0.006264195181242144, -0.10313668272110961, -0.0008179465757463519], [0.003310640692433847, -0.10367246886266566, -0.00040897328753511765]]","(1:1:6,)"
"[[-0.015367507744901828, -0.10271957602871913, -0.0006633578283112662], [-0.007683753873128595, -0.10331280619673117, -0.0003316789139412387]]","(1:1:6,)"
"[[-0.03240931342892239, -0.37747229929530185, -0.0005150707040769284], [-0.016204656715084576, -0.18873614964637808, -0.00025753535184494893]]","(1:1:6,)"
"[[-0.04410821633118041, -0.6289592231997676, -0.0003847361146048185], [-0.022054108166157924, -0.31447961159875304, -0.00019236805712716874]]","(1:1:6,)"
"[[-0.050793664066414515, -0.7689815756027928, -0.0002780839625657062], [-0.0253968320335358, -0.3844907878004799, -0.00013904198070651736]]","(1:1:6,)"
"[[-0.05433064253721151, -0.8430639361985304, -0.00018340058904840127], [-0.027165321268909085, -0.42153196809844107, -9.170029398729488e-5]]","(1:1:6,)"
"[[-0.054810978140402596, -0.8560161673774064, -0.00010696726738302369], [-0.02740548907048049, -0.42800808368797766, -5.348363319549613e-5]]","(1:1:6,)"
"[[-0.0529373935419217, -0.8236215457789084, -5.016462985956858e-5], [-0.026468696770857933, -0.41181077288926166, -2.5082314752617685e-5]]","(1:1:6,)"
"[[-0.04936742867913659, -0.7628682604687904, -3.705252830644744e-6], [-0.024683714339478986, -0.38143413023422723, -1.8526262537233675e-6]]","(1:1:6,)"
"[[-0.04465104953029879, -0.683478483423436, 2.9846078960867032e-5], [-0.02232552476507285, -0.34173924171157494, 1.4923039628932769e-5]]","(1:1:6,)"
"[[-0.03945039849019309, -0.5968622462507588, 5.103537255462543e-5], [-0.019725199245028812, -0.298431123125088, 2.5517686378351748e-5]]","(1:1:6,)"
"[[-0.03369474276039592, -0.5043303570113709, 6.572537400630147e-5], [-0.016847371380147576, -0.2521651785054306, 3.2862687096884154e-5]]","(1:1:6,)"
"[[-0.027976170326069763, -0.4145100434360201, 7.334017284496212e-5], [-0.013988085163000354, -0.2072550217177925, 3.667008650726116e-5]]","(1:1:6,)"
"[[-0.022747009899076832, -0.3337669473507819, 7.48758495990642e-5], [-0.011373504949500693, -0.16688347367504766, 3.7437924868180346e-5]]","(1:1:6,)"
"[[-0.01762692539852575, -0.2572051107812596, 7.342687390560795e-5], [-0.008813462699243614, -0.12860255539032744, 3.671343701641265e-5]]","(1:1:6,)"
"[[-0.013058338787590102, -0.19045782841595837, 6.916885187961737e-5], [-0.006529169393791833, -0.09522891420772117, 3.4584426000926523e-5]]","(1:1:6,)"
"[[-0.0092727646092998, -0.1361107297653547, 6.286514429438874e-5], [-0.004636382304536186, -0.068055364882482, 3.1432572198856256e-5]]","(1:1:6,)"
"[[-0.005854083816659497, -0.08843466682667521, 5.591545691923822e-5], [-0.0029270419082271597, -0.04421733341315266, 2.7957728511508657e-5]]","(1:1:6,)"
"[[-0.00305643683267482, -0.05026305348813285, 4.856249878123281e-5], [-0.0015282184162445697, -0.025131526743893542, 2.4281249445022804e-5]]","(1:1:6,)"
