blocks,axes
"[[0.018634539326951083, -0.021733760282125283, 0.07500425853173098], [0.009317269663481838, -0.010866880141066263, 0.07341029516271048]]","(1:1:6,)"
"[[0.025122142381305432, -0.031142754334162196, 0.06467813878099413], [0.01256107119065908, -0.01557137716708414, 0.06505342783311419]]","(1:1:6,)"
"[[0.028270218638238965, -0.03604449571074352, 0.055403024021920134], [0.014135109319117043, -0.018022247855371716, 0.05725427771513772]]","(1:1:6,)"
"[[0.029440946438037165, -0.0382592520519207, 0.04719495447906102], [0.01472047321901664, -0.019129626025960328, 0.04994065760462182]]","(1:1:6,)"
"[[0.028865908244776417, -0.038045352168536176, 0.03985877866452557], [0.014432954122386765, -0.019022676084268116, 0.04306291605438668]]","(1:1:6,)"
"[[0.0270706876362054, -0.036084462008310864, 0.0334270572093478], [0.01353534381811855, -0.018042231004155765, 0.03657003148462943]]","(1:1:6,)"
"[[0.02451368104441013, -0.0330110297152573, 0.027510513616650332], [0.012256840522218263, -0.01650551485762887, 0.03043463613101653]]","(1:1:6,)"
"[[0.021528448752208544, -0.0292629849052957, 0.02224099608606057], [0.010764224376114871, -0.014631492452647943, 0.02462271394191483]]","(1:1:6,)"
"[[0.01846616004685262, -0.02532190242415308, 0.017710266453887208], [0.009233080023429556, -0.012660951212075442, 0.01911552709617232]]","(1:1:6,)"
"[[0.015318858714831017, -0.021189298713280503, 0.01355743594440065], [0.007659429357418638, -0.010594649356639113, 0.013903271700645951]]","(1:1:6,)"
"[[0.012354724834379778, -0.01723944378185427, 0.009979582681527741], [0.006177362417192871, -0.008619721890925958, 0.008978493151414947]]","(1:1:6,)"
"[[0.00975375736658717, -0.013735247882868723, 0.007055392291219346], [0.0048768786832938315, -0.006867623941433977, 0.004335741502371941]]","(1:1:6,)"
"[[0.00734270329910297, -0.010441072204292886, 0.004524555635756637], [0.0036713516495516726, -0.005220536102146072, 0.0022622778178802002]]","(1:1:6,)"
"[[0.005282914375401525, -0.0075956075247412295, 0.002506195436679798], [0.002641457187700962, -0.0037978037623702726, 0.00125309771834155]]","(1:1:6,)"
"[[0.0036361825169783013, -0.005301489000829652, 0.0010189382498228825], [0.0018180912584890938, -0.0026507445004129416, 0.0005094691248479867]]","(1:1:6,)"
"[[0.002224091668011614, -0.0033047371447792835, -0.0001675922224613604], [0.0011120458340057938, -0.0016523685723878947, -8.379611128820568e-5]]","(1:1:6,)"
"[[0.001118321200382186, -0.0017220885489047776, -0.0010055485920582956], [0.000559160600191142, -0.0008610442744507804, -0.000502774296080968]]","(1:1:6,)"
"[[0.00031759237804186474, -0.0005656215933288882, -0.0014520380412032915], [0.0001587961890222652, -0.00028281079666043205, -0.0006903618063222382]]","(1:1:6,)"
"[[-0.00030152412798203866, 0.00034969676858103067, -0.0017885426533922868], [-0.0001507620639897853, 0.00017484838429421366, -0.0008605945384220066]]","(1:1:6,)"
"[[-0.0007236176782839588, 0.0009875520083381, -0.0019418208334967696], [-0.00036180883914084397, 0.0004937760041724354, -0.0009392141480657125]]","(1:1:6,)"
"[[-0.0009737868923871637, 0.0013733016157206474, -0.0018875780904069662], [-0.00048689344619811656, 0.0006866508078593366, -0.0008833868526429207]]","(1:1:6,)"
"[[-0.001115095788770296, 0.0016109947425084145, -0.0018103881103540265], [-0.000557547894389064, 0.0008054973712533425, -0.000848146641596281]]","(1:1:6,)"
