blocks,axes
"[[0.02944684351082729, -0.03825904090788954, 0.037970352694496425], [0.014723421755421828, -0.019129520453946256, 0.03981429553352555]]","(1:1:6,)"
"[[0.028811940314343934, -0.03797110426712535, 0.029744418779813455], [0.014405970157177634, -0.01898555213356382, 0.03160865757370909]]","(1:1:6,)"
"[[0.02697898282877576, -0.03596348278387214, 0.022906269484020764], [0.013489491414394716, -0.01798174139193629, 0.02396677980607763]]","(1:1:6,)"
"[[0.024397136092559304, -0.03285928038854705, 0.016765263463949288], [0.01219856804628516, -0.01642964019427359, 0.016858334285070442]]","(1:1:6,)"
"[[0.021399836724805818, -0.029096356467907182, 0.011628364981098161], [0.010699918362407091, -0.014548178233953494, 0.010251929429814713]]","(1:1:6,)"
"[[0.018335671107745338, -0.02515311746382371, 0.007856692166656933], [0.009167835553872935, -0.01257655873191131, 0.00432364108295014]]","(1:1:6,)"
"[[0.015192667545159, -0.021026156397083714, 0.004447125065903013], [0.007596333772579657, -0.010513078198541357, 0.0025969025786369243]]","(1:1:6,)"
"[[0.01223761571296407, -0.017087994286273042, 0.001826927740386206], [0.0061188078564820775, -0.008543997143136065, 0.001264847924448263]]","(1:1:6,)"
"[[0.009648470748032273, -0.013598960491270443, 0.00014225013913749418], [0.004824235374017651, -0.006799480245631824, 0.0004755327366566403]]","(1:1:6,)"
"[[0.007251086859121375, -0.010322364275497757, -0.001255873548048216], [0.0036255434295620293, -0.005161182137745772, -0.0002459901846349012]]","(1:1:6,)"
"[[0.005205381679287288, -0.007495041736624309, -0.0021716639166184056], [0.0026026908396448063, -0.0037475208683093396, -0.0007263475080304752]]","(1:1:6,)"
"[[0.0035719181735315024, -0.005218037492661751, -0.002614460127644053], [0.0017859590867645746, -0.0026090187463304495, -0.0009467485763119349]]","(1:1:6,)"
"[[0.0021728006408070753, -0.0032380823544591298, -0.0028551368353408385], [0.0010864003204024883, -0.0016190411772291663, -0.0010871083178787657]]","(1:1:6,)"
"[[0.0010786916258426315, -0.001670572472979485, -0.0028723050543115482], [0.0005393458129204023, -0.00083528623648937, -0.0011157147612055988]]","(1:1:6,)"
"[[0.0002877531054105265, -0.0005268410338719564, -0.002743890914738109], [0.00014387655270628482, -0.0002634205169349875, -0.0010816315499260765]]","(1:1:6,)"
"[[-0.0003225636027650572, 0.0003769875744167052, -0.00248877697288095], [-0.0001612818013815854, 0.00018849378720927365, -0.0009701988114616984]]","(1:1:6,)"
"[[-0.0007374047162597739, 0.0010053467112524964, -0.0021734574366858157], [-0.00036870235812903424, 0.000502673355627103, -0.000828664037787938]]","(1:1:6,)"
"[[-0.0009820139963122193, 0.0013838003937502873, -0.0018846080316862119], [-0.0004910069981565762, 0.0006919001968767006, -0.0007217814249581964]]","(1:1:6,)"
"[[-0.0011187088461294163, 0.0016154185770297662, -0.001527658817856856], [-0.0005593544230651514, 0.0008077092885163112, -0.0005562756708979371]]","(1:1:6,)"
"[[-0.0011593280525002026, 0.0017050586294061827, -0.001189349112678814], [-0.0005796640262505006, 0.0008525293147043892, -0.0004000902456910332]]","(1:1:6,)"
"[[-0.0011311766276934962, 0.0016844149301498276, -0.0009099196187062874], [-0.0005655883138467756, 0.0008422074650746304, -0.0002763509563187566]]","(1:1:6,)"
"[[-0.0010527672073564478, 0.001595623513859573, -0.0006323432088074075], [-0.0005263836036782427, 0.0007978117569295306, -0.00015130010894118536]]","(1:1:6,)"
"[[-0.0009439089630823211, 0.001457159782495919, -0.00039711764258814106], [-0.0004719544815411548, 0.0007285798912477344, -4.742512963861082e-5]]","(1:1:6,)"
"[[-0.0008255389375080933, 0.0012935172700317009, -0.00022047505805732696], [-0.00041276946875473436, 0.000646758635011449, 2.4135885614665246e-5]]","(1:1:6,)"
"[[-0.0006916193887024177, 0.0011115282813096402, -6.293191404432916e-5], [-0.00034580969435185513, 0.0005557641406507876, 8.94710683741349e-5]]","(1:1:6,)"
"[[-0.0005606740288853994, 0.0009291997395573454, 5.6475530130758936e-5], [-0.0002803370144432971, 0.0004645998697750097, 0.0001357380838107689]]","(1:1:6,)"
"[[-0.00034240467743836624, -0.0027877637347232553, 0.0001361656876640414], [-0.00012034548414744975, -0.0031340526804058983, 0.00016181110617549864]]","(1:1:6,)"
"[[-0.0002403453153577953, -0.0027274714787749745, 0.00019538211556521128], [-7.496623103057306e-5, -0.0030073339666781967, 0.00017802996371201613]]","(1:1:6,)"
"[[-0.000152035469354479, -0.002648733952166775, 0.0002300846006442843], [-3.612943635439326e-5, -0.0028713743412242306, 0.0001819916521633208]]","(1:1:6,)"
"[[0.001003837115362091, -0.03929298653269962, 0.00024354918308049707], [0.0010704852017514286, -0.039101158475645034, 0.0001755960134459486]]","(1:1:6,)"
"[[0.0009405284496457274, -0.036919564610429306, 0.00024422595521430044], [0.0009756605279624388, -0.03683479067270489, 0.0001624791234926567]]","(1:1:6,)"
"[[0.0008711127707785923, -0.03452250701535561, 0.0002336308455668217], [0.0008814973722256425, -0.03455640070791911, 0.00014372621319219792]]","(1:1:6,)"
"[[0.0016909968748245127, -0.057113767398664694, 0.0002152200518734955], [0.001672797252524554, -0.0568645968650223, 0.0001211310048590108]]","(1:1:6,)"
"[[0.0015321110089486737, -0.05366226155405664, 0.0001923079925808718], [0.0015014376573134927, -0.05356787801417147, 9.615399629322507e-5]]","(1:1:6,)"
"[[0.0013745318608837215, -0.050178452026395856, 0.0001671256976094539], [0.001336137006271269, -0.05025471001592917, 8.356284880714267e-5]]","(1:1:6,)"
"[[0.0019394385299251451, -0.06303394976188954, 0.00014195337194766646], [0.0018865618092960901, -0.0628886090342921, 7.09766859693781e-5]]","(1:1:6,)"
"[[0.001738263578781108, -0.05927441749277082, 0.00011705501814228429], [0.0016841089557434006, -0.059267841495302134, 5.852750906700094e-5]]","(1:1:6,)"
"[[0.0015434526928537475, -0.055469501363889805, 9.40130399759129e-5], [0.0014908288003917015, -0.05562405254129091, 4.700651998416072e-5]]","(1:1:6,)"
"[[0.0019217527391803312, -0.06178253247563161, 7.379549789716894e-5], [0.001862616855801025, -0.061746152727924455, 3.6897748947092504e-5]]","(1:1:6,)"
"[[0.001714009612390558, -0.058155202346604984, 5.5679069382032075e-5], [0.0016585578217921887, -0.05822016370700315, 2.783953468963151e-5]]","(1:1:6,)"
"[[0.00151508590031955, -0.05446979947456911, 4.037420282068515e-5], [0.0014648004836172962, -0.054664814256652906, 2.0187101409040472e-5]]","(1:1:6,)"
"[[0.001760377424168451, -0.05655208238380449, 2.797382075768141e-5], [0.0017073185226345526, -0.05657797152279609, 1.3986910378237923e-5]]","(1:1:6,)"
"[[0.0015670018043181405, -0.05328073749984076, 1.785844788949568e-5], [0.001518732827613907, -0.05337165407669287, 8.929223944390605e-6]]","(1:1:6,)"
"[[0.0013828871834449745, -0.04994305223183285, 1.0046744082850332e-5], [0.0013401821130664682, -0.0501318691934369, 5.023372041327871e-6]]","(1:1:6,)"
"[[0.0015353114709906878, -0.04943283976905591, 4.177993198458249e-6], [0.0014912386415666815, -0.04947528207888055, 2.088996598898994e-6]]","(1:1:6,)"
"[[0.0013664792478875242, -0.046608506122982146, 1.171402309896482e-7], [0.0013264291771084118, -0.04668909649604169, 5.8570115393365265e-8]]","(1:1:6,)"
"[[0.0012061115907934501, -0.043715480313874566, -2.5385179018255953e-6], [0.0011705798993123778, -0.04386830479814241, -1.2692589507379785e-6]]","(1:1:6,)"
"[[0.0012949263443017525, -0.04174745796111177, -4.310933578274665e-6], [0.0012584112212089497, -0.04177856024123801, -2.1554667900011227e-6]]","(1:1:6,)"
"[[0.001153835969266275, -0.03938448082502607, -4.854773756810014e-6], [0.0011199869258468852, -0.03943693636095111, -2.4273868789545137e-6]]","(1:1:6,)"
"[[0.0010198323328476646, -0.0369558007666514, -4.767432965121339e-6], [0.00098909794527945, -0.03706224146349534, -2.3837164828203095e-6]]","(1:1:6,)"
"[[0.0010660143723990002, -0.03429326088320304, -4.575265499250152e-6], [0.001034404880247559, -0.03430297328405415, -2.287632749397698e-6]]","(1:1:6,)"
"[[0.0009518356176433781, -0.03236471343367745, -3.598076500135459e-6], [0.0009216079378817609, -0.03238659050314615, -1.7990382496660112e-6]]","(1:1:6,)"
"[[0.0008432283308632825, -0.030377169044435732, -2.4854757496062674e-6], [0.0008148728710097721, -0.030440529065399315, -1.242737874204346e-6]]","(1:1:6,)"
"[[0.000861666791572517, -0.02751405061668605, -1.7087081737868245e-6], [0.0008325859285374003, -0.027503806100370835, -8.543540877750321e-7]]","(1:1:6,)"
"[[0.0007715638315270005, -0.02597296682302151, -4.071112778523301e-7], [0.0007428979142964201, -0.02597037233286918, -2.035556395553999e-7]]","(1:1:6,)"
"[[0.000685627434969713, -0.024381507319939304, 7.860091957647364e-7], [0.0006579182400383937, -0.024411606333098156, 3.9300459751319385e-7]]","(1:1:6,)"
"[[0.0006867943472589047, -0.02161984168351428, 1.4600757301523809e-6], [0.0006586245698540685, -0.021596067940489776, 7.300378613711602e-7]]","(1:1:6,)"
