blocks,axes
"[[736.2774367447438, -862.577801625293, -411.5988792918058, 13.61949034347767, -14.316681162526598, -16.821296464843723], [926.4839356343682, -967.1413708943105, -496.5725724528854, 6.836378794718708, -4.596057422209757, -14.014079049611231]]","(1:1:12,)"
"[[804.3748884621322, -934.161207437926, -495.70536161602445, 10.330445125800452, -10.318937533732957, -14.96839969417041], [960.6658296079618, -990.1216580053593, -566.6429677009415, 4.448998120908961, -1.975666623787867, -12.517828644345784]]","(1:1:12,)"
"[[856.0271140911344, -985.7558951065907, -570.5473600868766, 7.361226706736563, -6.652201988705269, -13.232099314517505], [982.9108202125066, -999.9999911242986, -629.2321109226705, 2.476585623977389, -1.7758504249343332e-6, -11.151084333479336]]","(1:1:12,)"
"[[892.8332476248172, -1019.0169050501171, -636.7078566594641, 4.765463159919131, -3.3983239187988925, -11.567542435251152], [995.2937483323935, -1000.0000000035508, -684.9875325900672, 0.9412503338582037, 1.6310750472160414, -9.847878712538419]]","(1:1:12,)"
"[[916.6605634244129, -1036.0085246441115, -694.5455688357199, 2.560200301275296, -0.5920166079902653, -10.00615063460168], [1000.0000000016845, -991.8446247674706, -734.2269261527592, -0.14896396357636776, 3.0391825286993006, -8.623925350902958]]","(1:1:12,)"
"[[929.4615649307893, -1038.9686076840628, -744.5763220087283, 0.7272016234588512, 1.7772528943109922, -8.627897875640702], [999.2551801838026, -976.6487121239741, -777.346552907274, -1.0530419144903362, 4.228728432940924, -7.553211823329064]]","(1:1:12,)"
"[[933.0975730480836, -1030.0823432125078, -787.7158113869318, -0.7396607725112353, 3.7073180362902747, -7.367589979396297], [993.9899706113509, -955.5050699592695, -815.1126120239194, -1.7740475050370137, 5.198629469407038, -6.562640955485307]]","(1:1:12,)"
"[[929.3992691855275, -1011.5457530310564, -824.5537612839133, -1.875209445985309, 5.233127055417872, -6.230542848774347], [985.1197330861659, -929.5119226122342, -847.925816801346, -2.329392051566871, 5.966359742332153, -5.654872826412518]]","(1:1:12,)"
"[[920.0232219556009, -985.380117753967, -855.7064755277851, -2.7306385749055084, 6.412260941291999, -5.238982147736935], [973.4727728283315, -899.6801239005734, -876.2001809334085, -2.7446726797388146, 6.560709732140772, -4.849077998434183]]","(1:1:12,)"
"[[906.3700290810733, -953.3188130475071, -881.9013862664698, -3.3332573134775902, 7.273476255306565, -4.361156531815144], [959.7494094296374, -866.8765752398696, -900.4455709255794, -3.033544003355723, 6.9960577052813475, -4.120387340244792]]","(1:1:12,)"
