blocks,axes
"[[420.490938799605, -518.4915231647435, -42.82838044963644, 24.485585283516198, -26.86669662040888, -22.094724323674438], [733.1023563811661, -791.1459324383694, -173.4539518157947, 16.09266167682067, -15.635290959502566, -18.827641917726766]]","(1:1:12,)"
"[[542.918865217186, -652.8250062667879, -153.30200206800862, 20.90105860777305, -22.852070932042672, -20.55799034004767], [813.5656647652695, -869.3223872358823, -267.59216140442857, 12.762125516592235, -11.585318724934707, -17.378609405018036]]","(1:1:12,)"
"[[647.4241582560512, -767.0853609270013, -256.091953768247, 17.26526859036854, -18.62785918019803, -18.8989207255957], [877.3762923482307, -927.2489808605558, -354.48520842951876, 9.670858182116795, -7.883033706043564, -15.926975849523352]]","(1:1:12,)"
"[[733.7505012078939, -860.2246568279915, -350.5865573962255, 13.731541501673796, -14.41519929053496, -17.149033744780223], [925.7305832588146, -966.6641493907736, -434.12008767713553, 6.893400377834473, -4.658535977118337, -14.464458174983395]]","(1:1:12,)"
"[[802.4082087162628, -932.3006532806662, -436.33172612012663, 10.431021485813755, -10.404141779706183, -15.38381885301407], [960.197585147987, -989.9568292763653, -506.4423785520525, 4.492043849691461, -2.008632423398339, -13.02880457837743]]","(1:1:12,)"
"[[854.5633161453316, -984.3213621791971, -513.250820385197, 7.44760084858171, -6.720825487184791, -13.700742754154692], [982.6578043964442, -999.9999913933569, -571.5864014439396, 2.5071010176744473, -1.7220435331033457e-6, -11.691541730983248]]","(1:1:12,)"
"[[891.8013203882401, -1017.925489615121, -581.7545341559705, 4.83620777819317, -3.448602672102353, -12.082305033862534], [995.1933094848165, -1000.0000000035747, -630.0441100988559, 0.9613381033721107, 1.6402910213749504, -10.414105753806577]]","(1:1:12,)"
"[[915.982359279206, -1035.1685029756327, -642.1660593252832, 2.615059445123371, -0.6235448609040661, -10.559939423974816], [1000.000000001677, -991.7985448966999, -682.1146388678887, -0.1367001287978098, 3.057826280237273, -9.212216277075294]]","(1:1:12,)"
"[[929.0576565048228, -1038.286227280153, -694.9657564451572, 0.7667886791747485, 1.7638634908914392, -9.19608830387443], [999.3164993576879, -976.5094134955135, -728.1757202532652, -1.0482952761712292, 4.256493728131057, -8.14220744301884]]","(1:1:12,)"
"[[932.8915999006965, -1029.466909825696, -740.9461979645293, -0.7141975727090494, 3.710813757625615, -7.9450719510964705], [994.0750229768317, -955.2269448548582, -768.8867574683594, -1.7762439022898802, 5.234889037445361, -7.150146951035086]]","(1:1:12,)"
"[[929.3206120371512, -1010.9128410375678, -780.6715577200117, -1.8623686166231876, 5.251823656939535, -6.812885937281136], [985.1938034653823, -929.0524996676313, -804.6374922235349, -2.337780697227552, 6.010271052346203, -6.239034750802385]]","(1:1:12,)"
"[[920.0087689540353, -984.6537227528701, -814.7359874064174, -2.7287800677278984, 6.444296308488254, -5.84259583017554], [973.5048999792446, -899.0011444059003, -835.8326659775468, -2.758433505603161, 6.611341318133826, -5.455521492200372]]","(1:1:12,)"
"[[906.3648686153958, -952.4322412104289, -843.9489665572951, -3.340635300898575, 7.316840870838655, -4.976675189121844], [959.7127324512287, -865.9444378152311, -863.1102734385486, -3.051804051905677, 7.052404399691693, -4.74074258859538]]","(1:1:12,)"
"[[889.661692110903, -915.8480368562356, -868.8323425029043, -3.7412877459386804, 7.9200760618880315, -4.210143547674306], [944.4537121917003, -830.6824158167726, -886.8139863815255, -3.239569088100482, 7.358769641695796, -4.092209470181402]]","(1:1:12,)"
"[[870.9552533812096, -876.2476565467954, -889.8830602412759, -3.9787103482174313, 8.312177227156083, -3.556141148428124], [928.2558667511979, -793.8885676082937, -907.2750337324326, -3.345715123948111, 7.559524702760695, -3.524967617954953]]","(1:1:12,)"
"[[851.0617016401224, -834.686770411015, -907.6637659834165, -4.079791343102382, 8.524961701411733, -2.9821943267541062], [911.5272911314573, -756.0909440944902, -924.8998718222074, -3.383686314220382, 7.670578236252992, -3.01308504362096]]","(1:1:12,)"
"[[830.6627449246105, -792.0619619039563, -922.574737617187, -4.078036031964025, 8.599953250323784, -2.480914620453506], [894.6088595603554, -717.7380529132253, -939.9652970403122, -3.3702353467026507, 7.712692111116681, -2.5528688433850544]]","(1:1:12,)"
"[[810.2725647647903, -749.0621956523374, -934.9793107194545, -4.005796216854839, 8.578241345457862, -2.047550208201539], [877.7576828268421, -679.1745923576418, -952.7296412572374, -3.3215381595331985, 7.706411049371662, -2.1403945852835413]]","(1:1:12,)"
"[[790.2435836805162, -706.1709889250482, -945.2170617604621, -3.881707904927217, 8.483338951220173, -1.6719767929454723], [861.1499920291761, -640.6425371107835, -963.4316141836551, -3.2469127934120956, 7.663491519585672, -1.772780504973685]]","(1:1:12,)"
"[[770.83504415588, -663.7542941689474, -953.5769457251895, -3.725543203830895, 8.340965142106816, -1.3480279308615124], [844.9154280621157, -602.325079512855, -972.2955167085236, -3.156245339299795, 7.596793045498971, -1.4469444415986121]]","(1:1:12,)"
"[[752.2073281367256, -622.0494684584132, -960.317085379497, -3.554161789712251, 8.17354594707224, -1.0704497059066287], [829.1342013656167, -564.3411142853602, -979.5302389165166, -3.057965672416719, 7.517528628208629, -1.1600988945148347]]","(1:1:12,)"
