blocks,axes
"[[-17490.873291506512, 15503.432938990103, 20479.697887097074, -200.00000000025133, 200.00000000047552, 200.00000001280478], [-21142.26428563949, 21153.090306935523, 21089.815734884716, -180.00000002127058, 180.00000002511837, 179.99999965006296]]","(1:1:12,)"
"[[-18490.873291507767, 16503.432938992482, 21479.6978871611, -200.00000000156038, 200.00000000183832, 198.15872429698106], [-22042.26428574584, 22053.090307061113, 21989.81573313503, -180.0000000326807, 180.00000003578327, 179.0729546858366]]","(1:1:12,)"
"[[-19490.87329151557, 17503.432939001676, 22470.491508646006, -200.00000000312403, 200.00000000353313, 195.11221060060564], [-22942.264285909245, 22953.09030724003, 22885.180506564215, -180.0000000628226, 180.0000000617016, 177.54305452392745]]","(1:1:12,)"
"[[-20490.873291531192, 18503.43293901934, 23446.052561649034, -200.00000000006455, 200.00000000074763, 191.27156059246826], [-23842.26428622336, 23853.090307548537, 23772.89577918385, -180.0000000186194, 180.00000002639183, 175.61585001764848]]","(1:1:12,)"
"[[-21490.873291531516, 19503.43293902308, 24402.410364611376, -199.99999999979414, 200.00000000164468, 187.04534494339964], [-24742.264286316455, 24753.090307680497, 24650.975029272093, -180.00000003369556, 180.00000003571537, 173.4956265220301]]","(1:1:12,)"
"[[-22490.873291530486, 20503.432939031303, 25337.637089328375, -200.0000000022269, 200.0000000034413, 182.76030789180433], [-25642.264286484933, 25653.090307859075, 25518.453161882244, -180.00000006327994, 180.0000000618539, 171.34575617658766]]","(1:1:12,)"
"[[-23490.873291541622, 21503.43293904851, 26251.438628787397, -199.99999999921926, 200.00000000065629, 178.61585476486465], [-26542.26428680133, 26553.090308168343, 26375.181942765183, -180.00000001939327, 180.00000002635866, 169.2659416659212]]","(1:1:12,)"
"[[-24490.87329153772, 22503.432939051792, 27144.51790261172, -199.99999999902627, 200.00000000155111, 174.76668351468606], [-27442.2642868983, 27453.090308300136, 27221.51165109479, -180.0000000342809, 180.00000003588258, 167.33353198779037]]","(1:1:12,)"
"[[-25490.87329153285, 23503.43293905955, 28018.35132018515, -200.0000000036398, 200.00000000339307, 171.30154932488946], [-28342.264287069702, 28353.09030847955, 28058.17931103374, -180.00000009447476, 180.00000006201088, 165.59290475640995]]","(1:1:12,)"
"[[-26490.873291551048, 24503.432939076512, 28874.859066809597, -199.99999999811521, 200.00000000061976, 168.2815243495518], [-29242.264287542075, 29253.090308789604, 28886.14383481579, -180.00000001261333, 180.00000002644228, 164.07459607191947]]","(1:1:12,)"
"[[-27490.873291541626, 25503.432939079612, 29716.266688557356, -199.99999999936867, 200.00000000151667, 165.72072853615919], [-30142.264287605143, 30153.090308921815, 29706.516815175386, -180.00000004381153, 180.00000003618268, 162.78566593186028]]","(1:1:12,)"
"[[-28490.873291538468, 26503.432939087194, 30544.87033123815, -200.00000000628575, 200.00000000341663, 163.59300349206669], [-31042.2642878242, 31053.09030910273, 30520.445144834688, -180.00000012614808, 180.00000006273592, 161.7130351644058]]","(1:1:12,)"
"[[-29490.873291569897, 27503.432939104277, 31362.835348698485, -199.99999999730932, 200.00000000056173, 161.8897838496994], [-31942.264288454942, 31953.09030941641, 31329.01032065672, -180.00000001443937, 180.00000002837714, 160.85242111096017]]","(1:1:12,)"
"[[-30490.873291556443, 28503.432939107086, 32172.284267946983, -200.00000000101994, 200.0000000016402, 160.56879634544987], [-32842.26428852714, 32853.0903095583, 32133.27242621152, -180.0000000568002, 180.00000003748266, 160.1826871656087]]","(1:1:12,)"
"[[-31490.873291561544, 29503.432939115286, 32975.128249674235, -200.00000000578214, 200.00000000677014, 159.56908812084163], [-33742.264288811144, 33753.09030974571, 32934.185862039565, -180.00000018364852, 180.00000021730756, 159.6733569256984]]","(1:1:12,)"
"[[-32490.873291590455, 30503.432939149137, 33772.97369027844, -199.9999999995417, 199.9999999969416, 158.8588237316064], [-34642.264289729384, 34653.09031083225, 33732.55264666806, -179.999999997514, 179.99999994779145, 159.3085126963784]]","(1:1:12,)"
"[[-33490.87329158816, 31503.432939133847, 34567.26780893648, -200.0000000025494, 200.0000000031265, 158.3874802942117], [-35542.26428971696, 35553.09031057121, 34529.09521014995, -180.00000008269228, 180.00000009098724, 159.0628930638615]]","(1:1:12,)"
"[[-34490.87329160091, 32503.43293914948, 35359.205210407534, -200.0000000011521, 200.00000000224472, 158.0994698086284], [-36442.26429013042, 36453.09031102615, 35324.40967546926, -180.00000004857824, 180.0000000362246, 158.90870405680997]]","(1:1:12,)"
"[[-35490.87329160667, 33503.4329391607, 36149.70255945068, -200.00000000132817, 200.00000000346674, 157.9638676819306], [-37342.264290373314, 37353.09031120727, 36118.95319575331, -180.00000003820088, 180.00000004906553, 158.83048340813176]]","(1:1:12,)"
"[[-36490.873291613316, 34503.432939178034, 36939.52189786033, -200.00000000141608, 200.00000000240172, 157.94223791725514], [-38242.264290564315, 38253.0903114526, 36913.10561279397, -180.00000004367325, 180.00000004178287, 158.8090131494638]]","(1:1:12,)"
"[[-37490.873291620395, 35503.43293919004, 37729.233087446606, -200.00000000074087, 200.00000000182962, 157.9976495154927], [-39142.26429078268, 39153.090311661515, 37707.150678541286, -180.00000003285555, 180.00000004989178, 158.825827812016]]","(1:1:12,)"
"[[-38490.8732916241, 36503.432939199185, 38519.22133502407, -199.99999999978795, 200.00000000119672, 158.10878768724692], [-40042.26429094696, 40053.09031191097, 38501.27981760137, -179.99999999942088, 180.0000000066393, 158.87027003255147]]","(1:1:12,)"
"[[-39490.87329162304, 37503.432939205166, 39309.7652734603, -200.00000000037016, 200.00000000207606, 158.25322504524615], [-40942.26429094406, 40953.090311944165, 39295.63116776413, -180.0000000139306, 180.00000003118356, 158.93112614959148]]","(1:1:12,)"
"[[-40490.873291624885, 38503.43293921555, 40101.03139868654, -200.00000000054217, 200.00000000094056, 158.4120257333703], [-41842.264291013715, 41853.09031210008, 40090.28679851208, -180.00000000918394, 180.00000001154314, 158.99892826793047]]","(1:1:12,)"
"[[-41490.8732916276, 39503.43293922025, 40893.09152735339, -200.00000000035533, 200.00000000106783, 158.57383119395294], [-42742.26429105963, 42753.090312157794, 40885.28143985174, -180.0000000061522, 180.0000000172828, 159.06799714228274]]","(1:1:12,)"
"[[-42490.873291629374, 40503.43293922559, 41685.96068332315, -200.0000000003358, 200.0000000010039, 158.72887805149495], [-43642.264291090396, 43653.09031224421, 41680.62142556315, -180.00000000747497, 180.0000000142287, 159.1334511191436]]","(1:1:12,)"
"[[-43490.873291631055, 41503.43293923061, 42479.60507358063, -200.0000000003994, 200.000000000495, 158.87058470925342], [-44542.26429112777, 44553.090312315355, 42476.28868115887, -180.0000000081509, 180.00000000725467, 159.19199943507937]]","(1:1:12,)"
"[[-44490.87329163305, 42503.432939233084, 43273.9579971269, -199.99999999944245, 200.00000000053913, 158.99469229947366], [-45442.264291168525, 45453.090312351625, 43272.24867833427, -179.99999999873236, 180.0000000077445, 159.2415126918519]]","(1:1:12,)"
"[[-45490.87329163026, 43503.432939235776, 44068.93145862427, -200.00000000008424, 200.00000000051296, 159.0990635581321], [-46342.26429116219, 46353.09031239035, 44068.45624179353, -180.00000000146278, 180.0000000072228, 159.28092229378112]]","(1:1:12,)"
"[[-46490.87329163068, 44503.43293923834, 44864.426776414926, -200.00000000112908, 200.00000000031164, 159.18367410839278], [-47242.2642911695, 47253.09031242646, 44864.860853262435, -180.00000002941457, 180.0000000037134, 159.31021608947756]]","(1:1:12,)"
"[[-47490.87329163633, 45503.432939239894, 45660.34514695689, -200.00000000098285, 200.000000000378, 159.2481762564629], [-48142.26429131658, 48153.09031244503, 45661.411933709824, -179.99999999170072, 180.00000000364184, 159.3292202697656]]","(1:1:12,)"
"[[-48490.87329164124, 46503.432939241786, 46456.5860282392, -198.46525899092185, 200.00000000029777, 159.29390313508364], [-49042.26429127508, 49053.09031246324, 46458.05803505865, -178.9861810107799, 180.00000000444422, 159.3386014394335]]","(1:1:12,)"
"[[-49483.19958659585, 47503.43293924328, 47253.05554391462, -195.46718031997378, 200.00000000275978, 159.3232706786029], [-49937.19519632898, 49953.09031248546, 47254.75104225582, -177.23966101019437, 180.00000004895514, 159.33956760476843]]","(1:1:12,)"
"[[-50460.535488195725, 48503.43293925708, 48049.671897307635, -191.46853780554898, 200.00000000015194, 159.33748665827204], [-50823.39350137996, 50853.09031273024, 48051.44888027966, -174.99450561428594, 180.00000001161283, 159.33272269120317]]","(1:1:12,)"
"[[-51417.87817722347, 49503.43293925784, 48846.35933059899, -186.92279082977964, 200.0000000009945, 159.33877218117482], [-51698.36602945138, 51753.0903127883, 48848.11249373568, -172.47743928937297, 180.00000002013803, 159.3191772927821]]","(1:1:12,)"
"[[-52352.49213137237, 50503.432939262806, 49643.05319150486, -182.1882950948674, 200.00000000225236, 159.32972430955414], [-52560.75322589825, 52653.09031288899, 49644.70838019959, -169.86497595469922, 180.00000003868308, 159.30022998182392]]","(1:1:12,)"
"[[-53263.4336068467, 51503.43293927407, 50439.701813052634, -177.50819989102473, 200.00000000064827, 159.31176586335442], [-53410.078105671746, 53553.09031308241, 50441.20953010871, -167.28134418574453, 180.00000001937858, 159.2765922101927]]","(1:1:12,)"
"[[-54150.974606301825, 52503.43293927731, 51236.26064236941, -173.0656742913143, 200.00000000106886, 159.2867815156327], [-54246.48482660047, 54453.0903131793, 51237.592491159674, -164.8181233420535, 180.00000002361077, 159.2492063570033]]","(1:1:12,)"
"[[-55016.302977758394, 53503.432939282655, 52032.69454994757, -168.96104548880527, 199.99999999521373, 159.25665690912405], [-55070.575443310736, 55353.090313297354, 52033.83852294469, -162.52283773907524, 179.99999991733625, 159.2190152869045]]","(1:1:12,)"
"[[-55861.10820520242, 54503.432939258724, 52828.97783449319, -165.28816182382653, 200.00000000345838, 159.2224680923419], [-55883.18963200611, 56253.09031288404, 52829.93359937921, -160.4450409180549, 180.00000004977053, 159.18655706812743]]","(1:1:12,)"
"[[-56687.54901432156, 55503.43293927602, 53625.0901749549, -162.07451810200934, 199.99999999866586, 159.18540987332028], [-56685.414836596385, 57153.09031313289, 53625.86638471985, -158.5984751520132, 179.99999998843134, 159.1524291493582]]","(1:1:12,)"
"[[-57497.9216048316, 56503.43293926935, 54421.017224321506, -158.5221796455971, 199.9999999994143, 159.14653860559045], [-57478.40721235645, 58053.090313075045, 54421.62853046664, -156.2026501666779, 179.9999999944038, 159.11715975272446]]","(1:1:12,)"
"[[-58290.532503059585, 57503.43293926642, 55216.74991734946, -155.46510692467533, 199.99999999942, 159.10647908002863], [-58259.42046318984, 58953.09031304706, 55217.21432923026, -154.07813959323536, 179.99999999417122, 159.08106131972232]]","(1:1:12,)"
"[[-59067.85803768296, 58503.43293926352, 56012.2823127496, -152.8643221233127, 199.99999999941102, 159.06581194015374], [-59029.811161156016, 59853.09031301792, 56012.619635828865, -152.2054389053164, 179.99999999415598, 159.0444242188619]]","(1:1:12,)"
"[[-59832.17964829953, 59503.43293926057, 56807.61137245037, -151.09073004506246, 200.0, 159.02496915520473], [-59790.8383556826, 60753.0903129887, 56807.841756923175, -150.98243803548817, 179.99999999415596, 159.00746448220502]]","(1:1:12,)"
"[[-60587.63329852484, 60503.43293926057, 57602.73621822639, -149.64433304695672, 199.99999999999994, 158.98422078753168], [-60545.75054586004, 61653.09031295948, 57602.8790793342, -149.93199418793245, 179.9999999941561, 158.97031718906646]]","(1:1:12,)"
"[[-61335.85496375962, 61503.43293926057, 58397.65732216405, -148.47273866541468, 199.99999999999486, 158.94374554418184], [-61295.410516799704, 62553.09031293026, 58397.73066527953, -149.0279034291196, 179.9999999941573, 158.93307174180083]]","(1:1:12,)"
