blocks,axes
"[[-0.1259530008516674, -0.13746487643184419, -0.09027997420103087], [-0.11144426775009739, -0.12371836126136529, -0.0451399871004253]]","(1:1:6,)"
"[[-0.1255986888638127, -0.13746487784725422, -0.05351957476151012], [-0.11112536399006663, -0.12371840091159375, -0.0267597873804502]]","(1:1:6,)"
"[[-0.1252443780667589, -0.13746487742553481, -0.02294437224419541], [-0.11080648869961514, -0.12371838736743004, -0.01147218612182287]]","(1:1:6,)"
"[[-0.12489006693885413, -0.1374648778830573, -5.653917503416475e-5], [-0.11048761187830217, -0.12371839138501584, -2.8269587273346618e-5]]","(1:1:6,)"
"[[-0.12453575567438668, -0.1374648777845365, 0.015445013996690288], [-0.11016872861521243, -0.12371838831046214, 0.007722506998518813]]","(1:1:6,)"
"[[-0.12418144450733853, -0.13746487779623284, 0.02668359651637137], [-0.10984984409732, -0.12371839857530366, 0.013341798258345815]]","(1:1:6,)"
"[[-0.12382713370281373, -0.13746487749313083, 0.033436734303299354], [-0.1095309736564027, -0.12371838499297842, 0.016718367151793402]]","(1:1:6,)"
"[[-0.12347282251026725, -0.13746487789649814, 0.03640276649534908], [-0.10921208982200785, -0.12371839383989205, 0.018201383248083323]]","(1:1:6,)"
"[[-0.12311851132660775, -0.13746487764405854, 0.037097172447051636], [-0.10889321015146085, -0.12371838876061303, 0.018548586223902975]]","(1:1:6,)"
"[[-0.12276420024904891, -0.13746487768217677, 0.03583899707367921], [-0.10857433102629471, -0.12371839051727383, 0.017919498537184362]]","(1:1:6,)"
"[[-0.12240988915451399, -0.13746487777115554, 0.03326459790083963], [-0.10825545089481628, -0.12371839130217291, 0.0166322989501865]]","(1:1:6,)"
"[[-0.12205557783893861, -0.13746487766059082, 0.029838516735108116], [-0.10793656887111724, -0.12371838980986902, 0.014919258367342274]]","(1:1:6,)"
"[[-0.12170126704760802, -0.13746487767399643, 0.025985066445066467], [-0.10761769130123165, -0.12371839000569357, 0.012992533222342827]]","(1:1:6,)"
"[[-0.12134695601709228, -0.1374648777094643, 0.022126814075665486], [-0.10729881634514629, -0.12371839060511543, 0.011063407037946758]]","(1:1:6,)"
"[[-0.1209926446676242, -0.1374648776566465, 0.018199084580860732], [-0.10697992320960585, -0.12371838993675847, 0.009099542290534559]]","(1:1:6,)"
"[[0.18630986842639355, -0.13746487768586607, 0.014538031598389213], [0.09610274543189598, -0.12371838973605195, 0.007269015799287549]]","(1:1:6,)"
"[[0.47933171171497274, -0.13641001225140953, 0.011360203575221495], [0.24296182936426255, -0.12302155848338202, 0.005680101787808781]]","(1:1:6,)"
"[[0.6797960726407829, -0.13434936067665476, 0.008423956804880879], [0.34300599236159063, -0.12182114906289666, 0.004211978402635841]]","(1:1:6,)"
"[[0.7895632458807016, -0.13160099546613727, 0.005931948793372613], [0.39770216809430026, -0.12027798983015747, 0.0029659743968770825]]","(1:1:6,)"
"[[0.8276521948605675, -0.12847659262338484, 0.003959361625247944], [0.4170915825291991, -0.11854794675399641, 0.0019796808128067695]]","(1:1:6,)"
"[[0.8171032327543465, -0.12522245881064803, 0.0022713392051335606], [0.4116308227384239, -0.11675234456032361, 0.0011356696027462131]]","(1:1:6,)"
"[[0.7699120686153346, -0.12200571483232862, 0.0009602460534896722], [0.387849562940813, -0.11497654672767671, 0.0004801230269205721]]","(1:1:6,)"
"[[0.7026471748124365, -0.11895225989694225, 2.627084406058104e-5], [0.35455886298997547, -0.11328353706926751, 1.3135422307831519e-5]]","(1:1:6,)"
"[[0.6166047427671699, -0.11613104559591453, -0.0006925094164001018], [0.3113530911335053, -0.11170588355436216, -0.0003462547079330098]]","(1:1:6,)"
"[[0.5250560780079966, -0.11360658568485577, -0.0011723458591893071], [0.26539479828285306, -0.1102778018799426, -0.000586172929337743]]","(1:1:6,)"
"[[0.5930878420916511, -0.1113977688712025, -0.0014409317848633216], [0.3755308794873363, -0.10900859873192932, -0.0007204658923939122]]","(1:1:6,)"
"[[0.49432181900600086, -0.10895616016300108, -0.001584581418849566], [0.3215489631144358, -0.10736189103030645, -0.0007922907093901638]]","(1:1:6,)"
"[[0.4033450659422042, -0.10685495952790383, -0.0016121253032616676], [0.27146370768257133, -0.10590166305641492, -0.0008060626516001036]]","(1:1:6,)"
"[[0.23818193639359508, -0.105067376585492, -0.0015532989957690302], [0.1417967020486272, -0.10461451019849377, -0.0007766494982363259]]","(1:1:6,)"
"[[0.17301372800339104, -0.10384834361294222, -0.0014404842329602402], [0.10755493798500307, -0.10377391187365956, -0.0007202421168052916]]","(1:1:6,)"
"[[0.11832087031285296, -0.10285419968191578, -0.0012919521791257028], [0.07855179401331479, -0.10305191619843035, -0.0006459760898613826]]","(1:1:6,)"
"[[0.044444319175826426, -0.10204893430118092, -0.0011292808198941355], [0.02274900035239699, -0.10243051199095644, -0.0005646404100792953]]","(1:1:6,)"
"[[0.0110350583598706, -0.10149846568002859, -0.0009551321866610421], [0.005868232714300887, -0.10200179485465953, -0.000477566093451382]]","(1:1:6,)"
"[[-0.013871005902657498, -0.10106371612821946, -0.0007858022058566007], [-0.006760411276426591, -0.10163199722264372, -0.0003929011030393767]]","(1:1:6,)"
"[[-0.030414779182616397, -0.10071545812356264, -0.0006333725740529656], [-0.015207389591132842, -0.10130650460936365, -0.0003166862864770387]]","(1:1:6,)"
"[[-0.04241866596355877, -0.21175656876603302, -0.0004886800528534816], [-0.02120933298162877, -0.10587828438285304, -0.0002443400259378772]]","(1:1:6,)"
"[[-0.05014891525525695, -0.5183276876443019, -0.00036240182887500004], [-0.025074457627502697, -0.25916384382200663, -0.00018120091400633092]]","(1:1:6,)"
"[[-0.053931543147765, -0.7009739510182238, -0.00025947379520202134], [-0.026965771574209638, -0.35048697550913455, -0.00012973689761921773]]","(1:1:6,)"
