blocks,axes
"[[-0.1255986899554371, -0.13746487633131627, -0.06207874226322331], [-0.11112539449206524, -0.12371834842906675, -0.031039371131319788]]","(1:1:6,)"
"[[-0.12524437656466605, -0.13746487985377445, -0.029607141096335703], [-0.11080644975200303, -0.12371845324245917, -0.01480357054789981]]","(1:1:6,)"
"[[-0.12489006785402824, -0.13746487633036542, -0.005051818061545655], [-0.11048762952143283, -0.12371835646245094, -0.0025259090305283713]]","(1:1:6,)"
"[[-0.1245357567276153, -0.13746487991517672, 0.011818875581461084], [-0.11016874760226271, -0.12371844399224433, 0.005909437791012296]]","(1:1:6,)"
"[[-0.12418144297145343, -0.1374648749751906, 0.02426793666674198], [-0.10984981748935423, -0.12371833332505318, 0.012133968333628403]]","(1:1:6,)"
"[[-0.12382713459588769, -0.13746487917800648, 0.03199869462703288], [-0.10953098629685072, -0.1237184172682839, 0.01599934731374955]]","(1:1:6,)"
"[[-0.12347282195213075, -0.13746487748672756, 0.035695752308813465], [-0.10921208149722048, -0.12371838922980027, 0.017847876154362594]]","(1:1:6,)"
"[[-0.1231185113998391, -0.13746487758943798, 0.03698326131556091], [-0.1088932114742923, -0.12371838892224851, 0.018491630657745884]]","(1:1:6,)"
"[[-0.12276420023661852, -0.13746487772713875, 0.03615366146278764], [-0.1085743303246362, -0.12371839047989003, 0.018076830731369602]]","(1:1:6,)"
"[[-0.1224098888869801, -0.1374648776404799, 0.033854259832592604], [-0.10825544633248951, -0.12371838929856213, 0.016927129916215585]]","(1:1:6,)"
"[[-0.12205557805613548, -0.13746487748622765, 0.03061444060526042], [-0.10793657156118282, -0.12371838981449895, 0.015307220302555435]]","(1:1:6,)"
"[[-0.12170126694965538, -0.13746487778845856, 0.02685738742983981], [-0.10761768802169863, -0.12371838995123656, 0.01342869371485145]]","(1:1:6,)"
"[[-0.12134695454670483, -0.13746487756903647, 0.02302239232941272], [-0.10729880081414361, -0.12371838935572224, 0.01151119616468344]]","(1:1:6,)"
"[[-0.12099264699313306, -0.13746487772975063, 0.01907417916893871], [-0.10697994116964762, -0.12371839019776117, 0.009537089584451763]]","(1:1:6,)"
"[[-0.12063832944373686, -0.13746487764324264, 0.01535740436407172], [-0.07079595267523026, -0.12371838979783346, 0.007678702182024187]]","(1:1:6,)"
"[[0.2493523694552784, -0.13746487764936394, 0.012102368672393395], [0.1279750107135102, -0.1235951349202871, 0.006051184336301814]]","(1:1:6,)"
"[[0.5395979542020208, -0.13619457709887078, 0.009075122213615127], [0.27290962693957344, -0.12278987549002288, 0.004537561106896246]]","(1:1:6,)"
"[[0.7200144676387943, -0.13392802974744447, 0.006487690703023967], [0.3629303141112282, -0.12148762524590101, 0.0032438453515842313]]","(1:1:6,)"
"[[0.8092874788814226, -0.1310426740403404, 0.004423681277492927], [0.40791207562078197, -0.11987722934264472, 0.002211840638875469]]","(1:1:6,)"
"[[0.8388676299480619, -0.1278516780232555, 0.0026458316352498466], [0.4225157143607742, -0.11811289022664315, 0.0013229158177508863]]","(1:1:6,)"
