blocks,axes
"[[815.3218276892659, -806.5344407350202, -428.4619792493407, 12.999386835668005, -14.203380619896329, -16.82517286487546], [923.5657992375855, -963.1197758392065, -489.8238894039443, 6.813038083988621, -4.599838861646022, -14.04433493119527]]","(1:1:12,)"
"[[880.3187618676059, -877.5513438345018, -512.5878435737179, 9.574336248883853, -10.330461131870935, -14.986443696138789], [957.6309896575285, -986.1189701474366, -560.0455640599206, 4.4376395850014925, -2.1623655851692054, -12.557844681271622]]","(1:1:12,)"
"[[928.1904431120252, -929.2036494938565, -587.5200620544118, 7.105194742154173, -7.003292068864628, -13.260259326461789], [979.819187582536, -996.9307980732826, -622.8347874662787, 2.6891849278832716, -0.4993844980944271, -11.197057336241922]]","(1:1:12,)"
"[[963.716416822796, -964.2201098381796, -653.8213586867207, 4.884358186972607, -4.007408436879751, -11.605024119879106], [993.2651122219523, -999.4277205637547, -678.8200741474883, 1.2399173471800478, 1.0009229927529582, -9.899361985314574]]","(1:1:12,)"
"[[988.138207757659, -984.2571520225783, -711.8464792861163, 2.9462609770255694, -1.3886054100819525, -10.051995257907778], [999.4646989578525, -994.42310559999, -728.3168840740611, 0.10706020842873687, 2.314456225248912, -8.680389994522475]]","(1:1:12,)"
"[[1002.8695126427868, -991.2001790729881, -762.1064555756552, 1.2945652019452856, 0.8499603827392921, -8.678828151131066], [999.9999999999962, -982.8508244737454, -771.7188340466735, -0.7075523757802245, 3.438433788758692, -7.611851338364669]]","(1:1:12,)"
"[[1009.3423386525133, -986.9503771592916, -805.5005963313106, -0.06484575819691352, 2.698844517717483, -7.4227155745683495], [996.4622381210951, -965.658655529952, -809.7780907384968, -1.3760185190711114, 4.367531911856947, -6.6230309906548825]]","(1:1:12,)"
"[[1009.0181098615287, -973.4561545707043, -842.6141742041523, -1.1507076704778958, 4.182741263369975, -6.289011128364136], [989.5821455257395, -943.8209959706672, -842.8932456917712, -1.9077061381556324, 5.1140977149409155, -5.7166078811279855]]","(1:1:12,)"
"[[1003.2645715091393, -952.5424482538543, -874.0592298459729, -1.979278507046347, 5.352120097913737, -5.3061903037118405], [980.0436148349613, -918.2505073959627, -871.4762850974112, -2.3011092758182596, 5.705155360088616, -4.919732804553506]]","(1:1:12,)"
"[[993.3681789739076, -925.7818477642857, -900.5901813645321, -2.5887912274722136, 6.225930563905802, -4.434800143550546], [968.5380684558701, -889.7247305955196, -896.0749491201786, -2.58565886742134, 6.1482138794897265, -4.197797108958487]]","(1:1:12,)"
"[[980.4242228365465, -894.6521949447566, -922.7641820822848, -3.0121841420817916, 6.847862951124469, -3.6692013947390967], [955.6097741187634, -858.983661198071, -917.063934664971, -2.7778250325779763, 6.465123097056999, -3.5479828572939587]]","(1:1:12,)"
"[[965.3633021261376, -860.4128801891343, -941.1101890559803, -3.4315634252718046, 7.464465738996463, -3.0052961470591764], [941.7206489558736, -826.658045712786, -934.8038489514408, -3.0431419377304367, 6.879395025043215, -2.9663365698545707]]","(1:1:12,)"
"[[948.2054849997785, -823.090551494152, -956.1366697912762, -3.7123798016990985, 7.8945924350974055, -2.4310193080491658], [926.5049392672214, -792.26107058757, -949.6355318007137, -3.2338819368457745, 7.193470523884102, -2.4495118365931066]]","(1:1:12,)"
"[[929.643585991283, -783.617589318665, -968.291766331522, -3.8829201556919792, 8.175929990858558, -1.9382477251193087], [910.3355295829925, -756.2937179681495, -961.8830909836793, -3.3642380118184247, 7.426157971571259, -1.9934484367286966]]","(1:1:12,)"
"[[910.2289852128231, -742.7379393643722, -977.9830049571185, -4.0216599945002125, 8.41188955096109, -1.519002015601849], [893.5143395239004, -719.1629281102933, -971.8503331673228, -3.4955804403086677, 7.657048129656124, -1.5941494396573663]]","(1:1:12,)"
"[[890.120685240322, -700.6784916095668, -985.5780150351278, -4.092109741605992, 8.556368138332898, -1.1655511317296172], [876.0364373223571, -680.8776874620127, -979.8210803656096, -3.586925812796481, 7.834814349235244, -1.2477760382842358]]","(1:1:12,)"
"[[869.6601365322921, -657.8966509179023, -991.4057706937759, -4.112422274691529, 8.633711268998775, -0.870700994188258], [858.1018082583747, -641.7036157158365, -986.0599605570309, -3.647403222375184, 7.971590548095835, -0.9507321939026183]]","(1:1:12,)"
"[[849.0980251588344, -614.7280945729085, -995.7592756647173, -4.100530170642926, 8.664442589142764, -0.626641220315038], [839.8647921464988, -601.8456629753573, -990.813621526544, -3.6827729562611684, 8.07084035212623, -0.6997079422767423]]","(1:1:12,)"
"[[828.5953743056198, -571.4058816271947, -998.8924817662925, -4.065923024804921, 8.665438385689981, -0.42885422547047447], [821.4509273651929, -561.4914612147261, -994.3121612379277, -3.7024827096425397, 8.149851063514692, -0.49155980786022024]]","(1:1:12,)"
"[[808.2657591815952, -528.0786896987448, -1001.0367528936448, -4.017692815160544, 8.648966495724917, -0.27161581802534795], [802.9385138169802, -520.7422058971526, -996.7699602772288, -3.7111167039146733, 8.214728037910087, -0.32342633914257535]]","(1:1:12,)"
"[[788.1772951057925, -484.83385722012025, -1002.3948319837715, -3.945729390485146, 8.599233466523259, -0.14859315182901237], [784.3829302974068, -479.6685657076022, -998.3870919729417, -3.687383455136018, 8.240304060124657, -0.19264422273451792]]","(1:1:12,)"
"[[768.4486481533668, -441.837689887504, -1003.1377977429165, -3.8737416454377724, 8.551104159416903, -0.05641443503503964], [765.9460130217267, -438.46704540697897, -999.3503130866143, -3.662835887727892, 8.26353346766841, -0.09670257828717667]]","(1:1:12,)"
"[[749.0799399261779, -399.0821690904195, -1003.4198699180918, -3.8048303942757706, 8.508801502239864, 0.00965412220932442], [747.6318335830872, -397.1493780686369, -999.8338259780502, -3.6390465315527303, 8.286522793424206, -0.033234804392376846]]","(1:1:12,)"
"[[730.055787954799, -356.5381615792202, -1003.3715993070451, -3.727275129442105, 8.458012555293728, 0.055620250477231306], [729.4366009253235, -355.7167641015159, -1000.000000000012, -3.634787638398132, 8.33383469904475, -1.846169050967461e-12]]","(1:1:12,)"
"[[711.4194123075885, -314.24809880275154, -1003.093498054659, -3.6622989854266925, 8.423660266202788, 0.0837169682445224], [711.262662733333, -314.04759060629215, -1000.0000000000213, -3.623689677893423, 8.372079150175702, 0.01505323807576568]]","(1:1:12,)"
"[[693.107917380455, -272.1297974717376, -1002.6749132134364, -3.6099819841547505, 8.406081303916595, 0.09781100510396312], [693.1442143438659, -272.1871948554136, -999.9247338096425, -3.6059125418798432, 8.401335257639126, 0.023063426778058803]]","(1:1:12,)"
